student_id,age,cgpa,backlogs,attendance_percentage,aptitude_test_score,coding_skill_score,problem_solving_score,teamwork_score,communication_score,leadership_score,mock_interview_score,extracurricular_score,internships_done,projects_count,hackathon_participation,recommended_career,alt_career_1,alt_career_2,match_confidence,skill_gap_1,skill_gap_2,skill_gap_3,gap_severity,readiness_score,est_weeks_to_ready,peer_benchmark_percentile,learning_roadmap_url
1,21,5.56,0,70,79,58,79,51,59,43,94,52,0,1,No,Data Analyst,Data Scientist,Full Stack Developer,58,leadership_score,coding_skill_score,extracurricular_score,Medium,37,12,36,https://roadmap.sh/data-analyst
2,21,8.58,0,81,72,83,79,62,59,54,45,65,1,2,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,82,coding_skill_score,communication_score,extracurricular_score,Low,61,7,50,https://roadmap.sh/devops
3,25,9.24,0,57,81,45,82,96,95,100,95,69,1,6,Yes,Product Manager,UI/UX Designer,Data Scientist,90,coding_skill_score,teamwork_score,problem_solving_score,Medium,78,4,66,https://roadmap.sh/product-manager
4,24,9.93,1,61,79,77,70,82,59,67,72,61,1,3,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,83,teamwork_score,problem_solving_score,leadership_score,Low,64,7,61,https://roadmap.sh/devops
5,21,5.82,0,95,87,87,67,70,61,56,54,43,2,4,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,73,teamwork_score,aptitude_test_score,problem_solving_score,Low,67,6,64,https://roadmap.sh/devops
6,25,7.5,2,96,84,64,84,79,71,59,93,58,0,1,No,Data Analyst,Data Scientist,Full Stack Developer,72,problem_solving_score,leadership_score,communication_score,Low,46,10,39,https://roadmap.sh/data-analyst
7,20,8.78,1,64,87,83,82,68,64,68,73,41,2,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,80,leadership_score,aptitude_test_score,teamwork_score,Low,66,6,64,https://roadmap.sh/ai-data-scientist
8,22,6.47,0,55,80,91,88,71,82,57,38,60,4,4,No,Data Scientist,AI / ML Engineer,Cloud Engineer,84,aptitude_test_score,problem_solving_score,leadership_score,Low,86,4,74,https://roadmap.sh/ai-data-scientist
9,18,9.59,0,86,53,38,52,80,96,52,64,73,0,2,No,UI/UX Designer,Product Manager,Mobile App Developer,88,extracurricular_score,leadership_score,problem_solving_score,High,58,8,48,https://roadmap.sh/ux-design
10,22,8.3,2,65,78,98,85,78,57,53,94,58,1,3,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,84,leadership_score,communication_score,coding_skill_score,Low,65,7,60,https://roadmap.sh/full-stack
11,21,6.12,0,92,90,68,68,85,52,58,32,43,2,0,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,76,aptitude_test_score,teamwork_score,communication_score,Low,57,8,49,https://roadmap.sh/devops
12,25,7.7,0,91,75,64,87,71,62,61,37,55,1,2,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,69,teamwork_score,extracurricular_score,coding_skill_score,Low,53,9,52,https://roadmap.sh/devops
13,21,7.01,0,61,71,79,80,50,78,55,48,69,0,3,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,66,teamwork_score,leadership_score,coding_skill_score,Low,48,10,38,https://roadmap.sh/ai-engineer
14,24,9.63,1,65,71,69,80,59,68,66,32,66,1,2,Yes,Data Scientist,AI / ML Engineer,Cloud Engineer,92,communication_score,teamwork_score,leadership_score,Medium,67,6,59,https://roadmap.sh/ai-data-scientist
