student_id,age,cgpa,backlogs,attendance_percentage,aptitude_test_score,coding_skill_score,problem_solving_score,teamwork_score,communication_score,leadership_score,mock_interview_score,extracurricular_score,internships_done,projects_count,hackathon_participation,recommended_career,alt_career_1,alt_career_2,match_confidence,skill_gap_1,skill_gap_2,skill_gap_3,gap_severity,readiness_score,est_weeks_to_ready,peer_benchmark_percentile,learning_roadmap_url
1,18,5.56,0,70,83,62,83,71,80,58,94,59,1,4,No,Data Analyst,Data Scientist,Full Stack Developer,63,coding_skill_score,problem_solving_score,teamwork_score,Medium,55,9,44,https://roadmap.sh/data-analyst
2,23,7.25,0,55,89,72,85,66,76,49,60,64,2,1,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,72,coding_skill_score,communication_score,extracurricular_score,Low,58,8,48,https://roadmap.sh/devops
3,21,7.68,2,79,81,74,72,60,64,60,71,70,0,2,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,70,problem_solving_score,aptitude_test_score,coding_skill_score,Medium,48,10,48,https://roadmap.sh/android
4,21,5.81,0,97,82,46,82,92,100,75,46,65,1,5,No,Product Manager,UI/UX Designer,Data Scientist,72,teamwork_score,extracurricular_score,leadership_score,Medium,64,7,56,https://roadmap.sh/product-manager
5,20,9.03,0,59,71,94,83,65,59,64,65,62,1,5,No,AI / ML Engineer,Data Scientist,Full Stack Developer,87,communication_score,problem_solving_score,aptitude_test_score,Low,73,5,70,https://roadmap.sh/ai-engineer
6,24,9.49,0,69,74,79,84,64,60,61,31,65,4,1,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,90,communication_score,leadership_score,coding_skill_score,Medium,81,4,77,https://roadmap.sh/cyber-security
7,19,8.4,0,89,91,91,75,74,71,57,62,63,2,4,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,93,leadership_score,problem_solving_score,extracurricular_score,Medium,79,4,70,https://roadmap.sh/ai-engineer
8,19,5.76,1,89,64,84,81,84,53,72,66,58,4,5,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,91,problem_solving_score,coding_skill_score,extracurricular_score,Medium,93,4,82,https://roadmap.sh/devops
9,25,5.64,0,90,59,81,69,58,61,44,52,64,0,3,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,62,teamwork_score,aptitude_test_score,communication_score,Low,46,10,46,https://roadmap.sh/full-stack
10,20,6.15,0,59,69,59,69,80,83,57,29,96,2,1,Yes,UI/UX Designer,Product Manager,Mobile App Developer,72,teamwork_score,communication_score,problem_solving_score,High,58,8,51,https://roadmap.sh/ux-design
11,21,9.04,0,61,60,88,74,56,63,45,31,52,2,2,Yes,Mobile App Developer,Full Stack Developer,UI/UX Designer,82,extracurricular_score,coding_skill_score,problem_solving_score,Medium,67,6,60,https://roadmap.sh/android
12,25,6.25,2,83,60,98,72,80,51,45,94,56,3,4,Yes,Mobile App Developer,Full Stack Developer,UI/UX Designer,73,problem_solving_score,communication_score,teamwork_score,Low,73,5,63,https://roadmap.sh/android
13,18,9.93,0,84,87,81,67,49,69,56,87,60,1,3,No,AI / ML Engineer,Data Scientist,Full Stack Developer,85,leadership_score,teamwork_score,extracurricular_score,Medium,66,6,54,https://roadmap.sh/ai-engineer
14,19,5.79,2,60,59,52,69,80,84,60,55,79,3,1,Yes,UI/UX Designer,Product Manager,Mobile App Developer,76,leadership_score,extracurricular_score,coding_skill_score,Medium,66,6,57,https://roadmap.sh/ux-design
15,21,8.35,0,71,78,69,70,69,79,50,65,69,1,3,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,75,coding_skill_score,extracurricular_score,leadership_score,Medium,60,8,58,https://roadmap.sh/devops
16,22,6.85,0,89,65,89,69,81,68,52,92,49,2,3,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,70,teamwork_score,coding_skill_score,problem_solving_score,Low,63,7,55,https://roadmap.sh/devops
17,20,8.02,0,68,78,74,69,83,65,63,57,63,2,4,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,79,coding_skill_score,extracurricular_score,aptitude_test_score,Medium,71,5,62,https://roadmap.sh/devops
18,21,7.8,0,99,83,67,91,51,63,68,95,55,3,3,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,83,aptitude_test_score,coding_skill_score,extracurricular_score,Medium,76,4,67,https://roadmap.sh/cyber-security
19,22,9.87,0,70,67,85,92,51,64,71,77,39,3,5,No,Cybersecurity Analyst,Cloud Engineer,DevOps Engineer,93,extracurricular_score,teamwork_score,problem_solving_score,Low,88,4,80,https://roadmap.sh/cyber-security
20,23,6.11,1,84,74,87,72,73,76,57,53,54,1,4,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,64,aptitude_test_score,coding_skill_score,extracurricular_score,Medium,56,8,50,https://roadmap.sh/android
21,24,5.58,2,66,92,89,72,56,52,63,80,57,2,5,Yes,AI / ML Engineer,Data Scientist,Full Stack Developer,78,leadership_score,extracurricular_score,coding_skill_score,Low,73,5,66,https://roadmap.sh/ai-engineer
22,22,7.6,1,98,80,80,87,61,61,53,71,66,2,4,No,AI / ML Engineer,Data Scientist,Full Stack Developer,89,aptitude_test_score,teamwork_score,coding_skill_score,Low,77,4,73,https://roadmap.sh/ai-engineer
23,23,7.77,0,97,72,80,78,81,57,62,63,56,4,3,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,94,aptitude_test_score,problem_solving_score,communication_score,Low,89,4,79,https://roadmap.sh/devops
24,25,8.29,0,97,75,100,86,58,65,57,55,74,2,2,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,84,coding_skill_score,extracurricular_score,problem_solving_score,Low,68,6,58,https://roadmap.sh/full-stack
25,25,7.88,0,79,67,73,68,78,61,55,25,50,1,2,No,Data Analyst,Data Scientist,Full Stack Developer,72,extracurricular_score,teamwork_score,leadership_score,Low,55,9,46,https://roadmap.sh/data-analyst
26,22,8.34,2,93,78,78,86,72,58,64,89,68,1,4,No,Mobile App Developer,Full Stack Developer,UI/UX Designer,88,teamwork_score,communication_score,extracurricular_score,Low,70,6,60,https://roadmap.sh/android
27,19,7.42,0,83,59,44,61,79,82,63,65,72,0,2,Yes,UI/UX Designer,Product Manager,Mobile App Developer,65,teamwork_score,problem_solving_score,extracurricular_score,High,45,11,41,https://roadmap.sh/ux-design
28,21,9.16,0,92,77,68,74,71,66,48,73,53,4,0,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,98,extracurricular_score,communication_score,leadership_score,Medium,82,4,74,https://roadmap.sh/devops
29,20,8.34,1,65,88,50,61,69,84,86,93,68,3,5,No,Product Manager,UI/UX Designer,Data Scientist,85,coding_skill_score,extracurricular_score,communication_score,Medium,84,4,80,https://roadmap.sh/product-manager
30,18,7.27,0,79,86,61,73,64,77,48,35,60,1,5,No,Cloud Engineer,DevOps Engineer,Full Stack Developer,87,aptitude_test_score,problem_solving_score,coding_skill_score,Low,73,5,60,https://roadmap.sh/devops
31,19,6.19,0,62,74,74,71,74,72,56,72,58,2,2,No,Full Stack Developer,Mobile App Developer,DevOps Engineer,69,extracurricular_score,problem_solving_score,aptitude_test_score,Low,59,8,49,https://roadmap.sh/full-stack
32,23,5.38,0,95,62,88,79,84,66,51,40,54,1,3,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,59,aptitude_test_score,coding_skill_score,leadership_score,Low,50,10,50,https://roadmap.sh/devops
33,19,8.18,1,64,69,64,70,75,100,88,59,76,1,4,No,Product Manager,UI/UX Designer,Data Scientist,89,aptitude_test_score,extracurricular_score,problem_solving_score,Medium,71,5,67,https://roadmap.sh/product-manager
34,21,8.34,0,86,68,83,94,55,59,55,58,65,3,1,Yes,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,87,leadership_score,coding_skill_score,extracurricular_score,Low,73,5,64,https://roadmap.sh/blockchain
35,23,8.45,0,86,75,84,83,68,62,70,76,55,1,0,Yes,Cloud Engineer,DevOps Engineer,Full Stack Developer,75,communication_score,leadership_score,teamwork_score,Low,51,9,45,https://roadmap.sh/devops
36,22,6.53,0,67,61,92,70,69,58,57,48,46,1,4,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,72,teamwork_score,leadership_score,extracurricular_score,Low,61,7,53,https://roadmap.sh/devops
37,25,5.07,0,72,68,71,65,68,78,61,41,44,0,1,Yes,DevOps Engineer,Cloud Engineer,Full Stack Developer,64,aptitude_test_score,communication_score,teamwork_score,Medium,41,11,40,https://roadmap.sh/devops
38,21,7.0,0,95,95,80,80,65,70,50,63,68,2,1,No,Data Scientist,AI / ML Engineer,Cloud Engineer,69,leadership_score,extracurricular_score,teamwork_score,Low,56,8,51,https://roadmap.sh/ai-data-scientist
39,19,9.95,0,94,71,76,84,56,66,57,51,56,0,5,Yes,Blockchain Developer,Full Stack Developer,Cybersecurity Analyst,87,problem_solving_score,extracurricular_score,leadership_score,Low,67,6,57,https://roadmap.sh/blockchain
40,20,5.16,0,73,60,67,69,85,60,65,58,64,2,2,No,DevOps Engineer,Cloud Engineer,Full Stack Developer,65,teamwork_score,problem_solving_score,aptitude_test_score,Medium,57,8,49,https://roadmap.sh/devops
